date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:01:11	91685/91685	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Sep%202025%2011:41:44%20GMT	https://swyftmarkets.com/	C:/xampp/htdocs/httracks/EDU_broker/swyftmarkets.com/index.html	(from )
16:01:12	112/112	---M-Z	200	added ('OK')	text/plain	date:Fri,%2019%20Sep%202025%2015:01:12%20GMT	https://swyftmarkets.com/robots.txt		(from )
16:01:12	89791/89791	---M-Z	200	added ('OK')	text/css	date:Fri,%2028%20Mar%202025%2018:55:33%20GMT	https://swyftmarkets.com/wp-content/plugins/bdthemes-element-pack/assets/css/bdt-uikit.css?ver=3.13.1	C:/xampp/htdocs/httracks/EDU_broker/swyftmarkets.com/wp-content/plugins/bdthemes-element-pack/assets/css/bdt-uikit2916.css	(from https://swyftmarkets.com/)
16:01:13	33596/33596	---M-Z	200	added ('OK')	text/css	date:Fri,%2028%20Mar%202025%2018:55:33%20GMT	https://swyftmarkets.com/wp-content/plugins/bdthemes-element-pack/assets/css/ep-helper.css?ver=6.4.0	C:/xampp/htdocs/httracks/EDU_broker/swyftmarkets.com/wp-content/plugins/bdthemes-element-pack/assets/css/ep-helper91f3.css	(from https://swyftmarkets.com/)
16:01:13	1862/1862	---M-Z	200	added ('OK')	application/rss+xml	date:Tue,%2008%20Jul%202025%2013:28:21%20GMT	https://swyftmarkets.com/feed/	C:/xampp/htdocs/httracks/EDU_broker/swyftmarkets.com/feed/index.html	(from https://swyftmarkets.com/)
16:01:13	116345/116345	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Jul%202025%2010:06:25%20GMT	https://swyftmarkets.com/wp-includes/css/dist/block-library/style.min.css?ver=6.8.2	C:/xampp/htdocs/httracks/EDU_broker/swyftmarkets.com/wp-includes/css/dist/block-library/style.min6c2d.css	(from https://swyftmarkets.com/)
16:01:14	1657/1657	---M-Z	200	added ('OK')	application/rss+xml	date:Tue,%2008%20Jul%202025%2013:28:21%20GMT	https://swyftmarkets.com/comments/feed/	C:/xampp/htdocs/httracks/EDU_broker/swyftmarkets.com/comments/feed/index.html	(from https://swyftmarkets.com/)
16:01:14	10435/10435	---M-Z	200	added ('OK')	text/css	date:Fri,%2028%20Mar%202025%2018:55:30%20GMT	https://swyftmarkets.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=9.1.5	C:/xampp/htdocs/httracks/EDU_broker/swyftmarkets.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style13cb.css	(from https://swyftmarkets.com/)
16:01:14	244272/244272	---M-Z	200	added ('OK')	text/css	date:Fri,%2028%20Mar%202025%2018:55:29%20GMT	https://swyftmarkets.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=9.1.5	C:/xampp/htdocs/httracks/EDU_broker/swyftmarkets.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style13cb.css	(from https://swyftmarkets.com/)
16:01:14	17809/17809	---M-Z	200	added ('OK')	text/css	date:Fri,%2028%20Mar%202025%2018:55:29%20GMT	https://swyftmarkets.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=7.3.0	C:/xampp/htdocs/httracks/EDU_broker/swyftmarkets.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout9156.css	(from https://swyftmarkets.com/)
